                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2136,                 5.1562,                 1.4266,                      0,                      0,                      0,                      0,                0.95905,                 5.2466,                 1.3186,             4.4971e-05,             4.4971e-05,             4.4971e-05
                      2,                 1.0577,                 4.9042,                 1.2888,                      0,                      0,                      0,                      0,                0.92462,                  5.077,                 1.2683,             9.0174e-05,             9.0174e-05,             9.0174e-05
